job_id,job_title,company,location,job_description,required_skills,experience_level,stipend_rs,job_type,industry
J051,Cloud Engineer,IBM,Hyderabad,"Cloud Engineer position at IBM in Hyderabad for Fresher level. Requires experience in TensorFlow, HTML, Kali Linux, MongoDB, React.","TensorFlow, HTML, Kali Linux, MongoDB, React",Fresher,15726,Internship,Healthcare
J052,Data Scientist,Infosys,Pune,"Data Scientist position at Infosys in Pune for Fresher level. Requires experience in CSS, JavaScript, Flask, SQL.","CSS, JavaScript, Flask, SQL",Fresher,22675,Internship,IT
J053,Data Scientist,Google,Remote,"Data Scientist position at Google in Remote for Fresher level. Requires experience in JavaScript, Azure, PyTorch, Django, AWS.","JavaScript, Azure, PyTorch, Django, AWS",Fresher,5667,Full-time,Cloud
J054,RPA Developer,Wipro,Mumbai,"RPA Developer position at Wipro in Mumbai for Mid level. Requires experience in Node.js, AWS, Git, Python, Django.","Node.js, AWS, Git, Python, Django",Mid,40024,Internship,Consulting
J055,System Administrator,Infosys,Mumbai,"System Administrator position at Infosys in Mumbai for Junior level. Requires experience in Django, Linux, AWS, Git, Java, CSS.","Django, Linux, AWS, Git, Java, CSS",Junior,36712,Full-time,Cloud
J056,Full Stack Developer,Infosys,Delhi,"Full Stack Developer position at Infosys in Delhi for Mid level. Requires experience in Automation Anywhere, PyTorch, AWS, PostgreSQL, CSS, Flask, TensorFlow.","Automation Anywhere, PyTorch, AWS, PostgreSQL, CSS, Flask, TensorFlow",Mid,13316,Full-time,Cybersecurity
J057,Business Analyst,TCS,Mumbai,"Business Analyst position at TCS in Mumbai for Junior level. Requires experience in PostgreSQL, CI/CD, Git, React, HTML, JavaScript, SQL.","PostgreSQL, CI/CD, Git, React, HTML, JavaScript, SQL",Junior,136745,Contract,Finance
J058,Cybersecurity Analyst,IBM,Hyderabad,"Cybersecurity Analyst position at IBM in Hyderabad for Senior level. Requires experience in PyTorch, HTML, Kubernetes, Docker.","PyTorch, HTML, Kubernetes, Docker",Senior,98184,Contract,Healthcare
J059,AI/ML Engineer,EY,Pune,"AI/ML Engineer position at EY in Pune for Mid level. Requires experience in SQL, JavaScript, CI/CD, PostgreSQL, PyTorch.","SQL, JavaScript, CI/CD, PostgreSQL, PyTorch",Mid,12661,Contract,Finance
J060,Full Stack Developer,Wipro,Delhi,"Full Stack Developer position at Wipro in Delhi for Senior level. Requires experience in SQL, Node.js, JavaScript, MongoDB.","SQL, Node.js, JavaScript, MongoDB",Senior,127486,Contract,Education
J061,Business Analyst,Wipro,Pune,"Business Analyst position at Wipro in Pune for Mid level. Requires experience in CSS, Spring Boot, TensorFlow, React, Node.js, CI/CD.","CSS, Spring Boot, TensorFlow, React, Node.js, CI/CD",Mid,121543,Internship,Cybersecurity
J062,DevOps Engineer,Amazon,Delhi,"DevOps Engineer position at Amazon in Delhi for Junior level. Requires experience in Docker, CI/CD, PyTorch, React, Git.","Docker, CI/CD, PyTorch, React, Git",Junior,58535,Internship,E-Commerce
J063,Data Scientist,Capgemini,Chennai,"Data Scientist position at Capgemini in Chennai for Mid level. Requires experience in CSS, Kubernetes, Node.js, Python, Spring Boot.","CSS, Kubernetes, Node.js, Python, Spring Boot",Mid,87659,Full-time,Cloud
J064,Full Stack Developer,TCS,Pune,"Full Stack Developer position at TCS in Pune for Fresher level. Requires experience in AWS, Python, Git, Node.js, PyTorch, Spring Boot, TensorFlow.","AWS, Python, Git, Node.js, PyTorch, Spring Boot, TensorFlow",Fresher,9137,Full-time,Finance
J065,AI/ML Engineer,TCS,Bangalore,"AI/ML Engineer position at TCS in Bangalore for Mid level. Requires experience in PyTorch, SQL, Git, Flask, Django, Java, Azure.","PyTorch, SQL, Git, Flask, Django, Java, Azure",Mid,27129,Internship,E-Commerce
J066,Cloud Engineer,HCL,Pune,"Cloud Engineer position at HCL in Pune for Fresher level. Requires experience in Linux, Automation Anywhere, UiPath, JavaScript, Tableau, MongoDB, TensorFlow.","Linux, Automation Anywhere, UiPath, JavaScript, Tableau, MongoDB, TensorFlow",Fresher,23286,Full-time,E-Commerce
J067,System Administrator,IBM,Pune,"System Administrator position at IBM in Pune for Senior level. Requires experience in Flask, Docker, React, Django, SQL.","Flask, Docker, React, Django, SQL",Senior,36013,Internship,IT
J068,Cloud Engineer,Wipro,Hyderabad,"Cloud Engineer position at Wipro in Hyderabad for Fresher level. Requires experience in Spring Boot, Linux, PyTorch, Node.js, Java, JavaScript, CI/CD.","Spring Boot, Linux, PyTorch, Node.js, Java, JavaScript, CI/CD",Fresher,18386,Full-time,IT
J069,Business Analyst,EY,Delhi,"Business Analyst position at EY in Delhi for Senior level. Requires experience in PostgreSQL, AWS, Power BI, JavaScript, Flask.","PostgreSQL, AWS, Power BI, JavaScript, Flask",Senior,79351,Full-time,Cloud
J070,Cloud Engineer,EY,Remote,"Cloud Engineer position at EY in Remote for Junior level. Requires experience in Linux, CI/CD, Git, Node.js, TensorFlow, AWS.","Linux, CI/CD, Git, Node.js, TensorFlow, AWS",Junior,53495,Full-time,IT
J071,Backend Developer,EY,Delhi,"Backend Developer position at EY in Delhi for Senior level. Requires experience in Linux, Java, PostgreSQL, CI/CD.","Linux, Java, PostgreSQL, CI/CD",Senior,124755,Internship,Education
J072,AI/ML Engineer,HCL,Pune,"AI/ML Engineer position at HCL in Pune for Fresher level. Requires experience in Kali Linux, Django, Automation Anywhere, React.","Kali Linux, Django, Automation Anywhere, React",Fresher,23848,Full-time,Cloud
J073,RPA Developer,Google,Remote,"RPA Developer position at Google in Remote for Junior level. Requires experience in Git, PostgreSQL, Flask, Automation Anywhere, PyTorch.","Git, PostgreSQL, Flask, Automation Anywhere, PyTorch",Junior,82917,Internship,Education
J074,Software Engineer,IBM,Pune,"Software Engineer position at IBM in Pune for Senior level. Requires experience in HTML, PostgreSQL, Spring Boot, PyTorch, Node.js.","HTML, PostgreSQL, Spring Boot, PyTorch, Node.js",Senior,37420,Internship,Cybersecurity
J075,QA Engineer,Infosys,Remote,"QA Engineer position at Infosys in Remote for Fresher level. Requires experience in HTML, AWS, Kali Linux, MongoDB, Tableau, Python.","HTML, AWS, Kali Linux, MongoDB, Tableau, Python",Fresher,15306,Internship,E-Commerce
J076,QA Engineer,Capgemini,Mumbai,"QA Engineer position at Capgemini in Mumbai for Senior level. Requires experience in Linux, Kali Linux, PyTorch, Flask, TensorFlow, Java.","Linux, Kali Linux, PyTorch, Flask, TensorFlow, Java",Senior,145905,Full-time,Cloud
J077,DevOps Engineer,EY,Chennai,"DevOps Engineer position at EY in Chennai for Junior level. Requires experience in Python, Flask, Linux, UiPath.","Python, Flask, Linux, UiPath",Junior,137064,Internship,Education
J078,DevOps Engineer,TCS,Pune,"DevOps Engineer position at TCS in Pune for Fresher level. Requires experience in Automation Anywhere, AWS, TensorFlow, Flask, Azure.","Automation Anywhere, AWS, TensorFlow, Flask, Azure",Fresher,8054,Contract,Healthcare
J079,Backend Developer,EY,Chennai,"Backend Developer position at EY in Chennai for Mid level. Requires experience in TensorFlow, Power BI, Azure, MongoDB, Docker.","TensorFlow, Power BI, Azure, MongoDB, Docker",Mid,133789,Internship,Education
J080,System Administrator,HCL,Chennai,"System Administrator position at HCL in Chennai for Junior level. Requires experience in UiPath, Tableau, React, Python, Node.js, Spring Boot.","UiPath, Tableau, React, Python, Node.js, Spring Boot",Junior,118774,Full-time,Finance
J081,Network Engineer,HCL,Chennai,"Network Engineer position at HCL in Chennai for Senior level. Requires experience in HTML, Power BI, Kali Linux, UiPath, MongoDB, TensorFlow.","HTML, Power BI, Kali Linux, UiPath, MongoDB, TensorFlow",Senior,136967,Full-time,Education
J082,System Administrator,Microsoft,Remote,"System Administrator position at Microsoft in Remote for Junior level. Requires experience in Kali Linux, PostgreSQL, Java, HTML, CI/CD.","Kali Linux, PostgreSQL, Java, HTML, CI/CD",Junior,110393,Contract,Cloud
J083,Backend Developer,Infosys,Mumbai,"Backend Developer position at Infosys in Mumbai for Junior level. Requires experience in AWS, TensorFlow, Automation Anywhere, Tableau, UiPath, Python.","AWS, TensorFlow, Automation Anywhere, Tableau, UiPath, Python",Junior,43094,Internship,IT
J084,Business Analyst,TCS,Mumbai,"Business Analyst position at TCS in Mumbai for Junior level. Requires experience in Linux, Spring Boot, MongoDB, Flask, SQL, HTML.","Linux, Spring Boot, MongoDB, Flask, SQL, HTML",Junior,79474,Full-time,Education
J085,Network Engineer,Capgemini,Mumbai,"Network Engineer position at Capgemini in Mumbai for Mid level. Requires experience in JavaScript, Flask, Django, Node.js.","JavaScript, Flask, Django, Node.js",Mid,19410,Contract,Education
J086,DevOps Engineer,Amazon,Mumbai,"DevOps Engineer position at Amazon in Mumbai for Fresher level. Requires experience in Spring Boot, Node.js, Python, Java, HTML.","Spring Boot, Node.js, Python, Java, HTML",Fresher,19538,Contract,E-Commerce
J087,Data Scientist,Google,Pune,"Data Scientist position at Google in Pune for Mid level. Requires experience in Tableau, PostgreSQL, Git, Django, UiPath.","Tableau, PostgreSQL, Git, Django, UiPath",Mid,48160,Internship,Healthcare
J088,Cloud Engineer,TCS,Hyderabad,"Cloud Engineer position at TCS in Hyderabad for Fresher level. Requires experience in Git, Azure, JavaScript, TensorFlow, Flask, React, CI/CD.","Git, Azure, JavaScript, TensorFlow, Flask, React, CI/CD",Fresher,12891,Contract,Healthcare
J089,Cybersecurity Analyst,Google,Remote,"Cybersecurity Analyst position at Google in Remote for Senior level. Requires experience in CSS, Git, Node.js, Flask, PostgreSQL, React, TensorFlow.","CSS, Git, Node.js, Flask, PostgreSQL, React, TensorFlow",Senior,29362,Internship,Consulting
J090,Network Engineer,EY,Hyderabad,"Network Engineer position at EY in Hyderabad for Senior level. Requires experience in Git, CSS, Automation Anywhere, Node.js, Spring Boot, CI/CD, Python.","Git, CSS, Automation Anywhere, Node.js, Spring Boot, CI/CD, Python",Senior,72182,Internship,E-Commerce
J091,Network Engineer,Infosys,Pune,"Network Engineer position at Infosys in Pune for Fresher level. Requires experience in Automation Anywhere, Node.js, Kali Linux, JavaScript, Linux, CSS, CI/CD.","Automation Anywhere, Node.js, Kali Linux, JavaScript, Linux, CSS, CI/CD",Fresher,24870,Contract,IT
J092,QA Engineer,Wipro,Chennai,"QA Engineer position at Wipro in Chennai for Mid level. Requires experience in Node.js, UiPath, TensorFlow, Java.","Node.js, UiPath, TensorFlow, Java",Mid,35470,Contract,Consulting
J093,RPA Developer,Microsoft,Delhi,"RPA Developer position at Microsoft in Delhi for Junior level. Requires experience in Kubernetes, Docker, Azure, Power BI, CSS, Tableau, Django.","Kubernetes, Docker, Azure, Power BI, CSS, Tableau, Django",Junior,95647,Full-time,Finance
J094,System Administrator,EY,Remote,"System Administrator position at EY in Remote for Junior level. Requires experience in UiPath, AWS, TensorFlow, SQL, Azure, JavaScript.","UiPath, AWS, TensorFlow, SQL, Azure, JavaScript",Junior,87369,Internship,Education
J095,Network Engineer,Infosys,Remote,"Network Engineer position at Infosys in Remote for Mid level. Requires experience in Power BI, AWS, TensorFlow, CSS, Django, Spring Boot.","Power BI, AWS, TensorFlow, CSS, Django, Spring Boot",Mid,13648,Full-time,Healthcare
J096,Cybersecurity Analyst,HCL,Mumbai,"Cybersecurity Analyst position at HCL in Mumbai for Mid level. Requires experience in Linux, Power BI, HTML, JavaScript.","Linux, Power BI, HTML, JavaScript",Mid,133594,Full-time,Cloud
J097,QA Engineer,Amazon,Delhi,"QA Engineer position at Amazon in Delhi for Senior level. Requires experience in Azure, Java, Node.js, PyTorch.","Azure, Java, Node.js, PyTorch",Senior,117032,Contract,Finance
J098,Software Engineer,Amazon,Hyderabad,"Software Engineer position at Amazon in Hyderabad for Junior level. Requires experience in Git, CI/CD, UiPath, Azure, PostgreSQL, Flask, AWS.","Git, CI/CD, UiPath, Azure, PostgreSQL, Flask, AWS",Junior,107258,Internship,Education
J099,Network Engineer,IBM,Chennai,"Network Engineer position at IBM in Chennai for Senior level. Requires experience in TensorFlow, JavaScript, CSS, AWS, Django.","TensorFlow, JavaScript, CSS, AWS, Django",Senior,107132,Internship,IT
J100,AI/ML Engineer,Capgemini,Delhi,"AI/ML Engineer position at Capgemini in Delhi for Mid level. Requires experience in AWS, Automation Anywhere, TensorFlow, SQL, Django.","AWS, Automation Anywhere, TensorFlow, SQL, Django",Mid,82320,Full-time,Healthcare
J101,DevOps Engineer,HCL,Bangalore,"DevOps Engineer position at HCL in Bangalore for Fresher level. Requires experience in SQL, Automation Anywhere, Kali Linux, Power BI, Docker.","SQL, Automation Anywhere, Kali Linux, Power BI, Docker",Fresher,9126,Internship,Cloud
J102,RPA Developer,Wipro,Remote,"RPA Developer position at Wipro in Remote for Junior level. Requires experience in Azure, Automation Anywhere, Power BI, React, Kubernetes, AWS.","Azure, Automation Anywhere, Power BI, React, Kubernetes, AWS",Junior,10743,Internship,Consulting
J103,QA Engineer,Google,Hyderabad,"QA Engineer position at Google in Hyderabad for Fresher level. Requires experience in Python, Kubernetes, React, Java, Azure, PostgreSQL.","Python, Kubernetes, React, Java, Azure, PostgreSQL",Fresher,24295,Internship,Cloud
J104,Full Stack Developer,Amazon,Delhi,"Full Stack Developer position at Amazon in Delhi for Fresher level. Requires experience in TensorFlow, Tableau, JavaScript, Linux.","TensorFlow, Tableau, JavaScript, Linux",Fresher,16863,Internship,Education
J105,Data Analyst,Capgemini,Pune,"Data Analyst position at Capgemini in Pune for Senior level. Requires experience in MongoDB, PostgreSQL, Django, AWS, PyTorch, TensorFlow, SQL.","MongoDB, PostgreSQL, Django, AWS, PyTorch, TensorFlow, SQL",Senior,25945,Contract,IT
J106,System Administrator,Amazon,Pune,"System Administrator position at Amazon in Pune for Junior level. Requires experience in MongoDB, Linux, Tableau, Node.js, TensorFlow, Kali Linux.","MongoDB, Linux, Tableau, Node.js, TensorFlow, Kali Linux",Junior,82093,Full-time,Consulting
J107,RPA Developer,Infosys,Bangalore,"RPA Developer position at Infosys in Bangalore for Fresher level. Requires experience in JavaScript, PostgreSQL, HTML, TensorFlow, MongoDB, UiPath, AWS.","JavaScript, PostgreSQL, HTML, TensorFlow, MongoDB, UiPath, AWS",Fresher,19092,Contract,Cloud
J108,AI/ML Engineer,Infosys,Pune,"AI/ML Engineer position at Infosys in Pune for Mid level. Requires experience in SQL, Automation Anywhere, PostgreSQL, AWS.","SQL, Automation Anywhere, PostgreSQL, AWS",Mid,134326,Internship,Consulting
J109,Business Analyst,Microsoft,Remote,"Business Analyst position at Microsoft in Remote for Junior level. Requires experience in PostgreSQL, CSS, Django, Kali Linux.","PostgreSQL, CSS, Django, Kali Linux",Junior,96414,Contract,IT
J110,Frontend Developer,Google,Pune,"Frontend Developer position at Google in Pune for Mid level. Requires experience in Azure, Django, PyTorch, JavaScript, AWS.","Azure, Django, PyTorch, JavaScript, AWS",Mid,143015,Internship,E-Commerce
J111,AI/ML Engineer,Capgemini,Pune,"AI/ML Engineer position at Capgemini in Pune for Fresher level. Requires experience in Linux, Django, Automation Anywhere, Spring Boot.","Linux, Django, Automation Anywhere, Spring Boot",Fresher,19061,Internship,Cloud
J112,Cybersecurity Analyst,Google,Hyderabad,"Cybersecurity Analyst position at Google in Hyderabad for Mid level. Requires experience in Python, Kubernetes, Azure, Git, Django, MongoDB.","Python, Kubernetes, Azure, Git, Django, MongoDB",Mid,99082,Contract,Finance
